"pm" "day"
0.648081570766173 "Wednesday"
0.540612379029094 "Thursday"
0.61965240235245 "Friday"
0.320603142310641 "Saturday"
0.318352919339447 "Sunday"
0.491093848724888 "Monday"
0.774265433433946 "Tuesday"
0.772917573061349 "Wednesday"
0.875589294407352 "Thursday"
1.01022016100325 "Friday"
0.443578520664554 "Saturday"
0.190962292597493 "Sunday"
0.642317180648095 "Monday"
0.703109787549982 "Tuesday"
0.624165722309762 "Wednesday"
0.668911452380251 "Thursday"
0.483417635030845 "Friday"
0.192310990265664 "Saturday"
0.366732556937727 "Sunday"
0.471358769908967 "Monday"
0.550191917774054 "Tuesday"
0.586733169141354 "Wednesday"
0.619498463516551 "Thursday"
0.520243841947924 "Friday"
0.181717780209744 "Saturday"
0.337255319824663 "Sunday"
0.401012763628403 "Monday"
0.425825692585667 "Tuesday"
0.703160551168143 "Wednesday"
0.671511732815457 "Thursday"
0.873898783387894 "Friday"
0.220721133286045 "Saturday"
0.243218130933808 "Sunday"
0.395784192477799 "Monday"
0.669239494180502 "Tuesday"
0.444804416351293 "Wednesday"
0.727079963253561 "Thursday"
0.692335279527645 "Friday"
0.224354184984546 "Saturday"
0.323644984174181 "Sunday"
0.47970740675061 "Monday"
0.391298642155507 "Tuesday"
0.822858601055844 "Wednesday"
1.00752959704019 "Thursday"
0.530139826028822 "Friday"
0.322533295064214 "Saturday"
0.183747025214238 "Sunday"
0.528538293988729 "Monday"
0.748038925258596 "Tuesday"
0.851549641046586 "Wednesday"
0.452897725477259 "Thursday"
0.477724084141356 "Friday"
0.267507573580406 "Saturday"
0.359086285654961 "Sunday"
0.405085416506847 "Monday"
0.55200361294668 "Tuesday"
0.96943017699299 "Wednesday"
0.729183258879515 "Thursday"
0.576167794758976 "Friday"
0.244075267248882 "Saturday"
0.202966008330616 "Sunday"
0.44588429316614 "Monday"
0.884195377870578 "Tuesday"
0.639211405683306 "Wednesday"
0.703651782932516 "Thursday"
0.445829085050404 "Friday"
0.251466670739601 "Saturday"
0.213020955567011 "Sunday"
0.493407681187751 "Monday"
0.604160684295525 "Tuesday"
0.621900812829688 "Wednesday"
0.936096041838231 "Thursday"
0.511188306800005 "Friday"
0.153501066793176 "Saturday"
0.217686961730668 "Sunday"
0.476458208859405 "Monday"
0.867221351197685 "Tuesday"
0.688667632107258 "Wednesday"
0.318317154885864 "Thursday"
0.823302266944263 "Friday"
0.210487082357413 "Saturday"
0.3064955196799 "Sunday"
0.387244078727664 "Monday"
1.03509801266126 "Tuesday"
0.610927479032583 "Wednesday"
0.479522860436583 "Thursday"
0.549212868937967 "Friday"
0.173142374448061 "Saturday"
0.390212545139677 "Sunday"
0.82586212246647 "Monday"
0.710012505190299 "Tuesday"
0.968291565755337 "Wednesday"
0.961249036061205 "Thursday"
1.15960242866687 "Friday"
0.290320237928034 "Saturday"
0.154075408533119 "Sunday"
0.526699617806053 "Monday"
0.679123464601114 "Tuesday"
0.848940396472283 "Wednesday"
0.560167673045932 "Thursday"
