"FORCE","HEIGHT","SPECIES"
3.200000047683716,5,"Hemigrapsus nudus"
6.400000095367432,6,"Hemigrapsus nudus"
2,6.400000095367432,"Hemigrapsus nudus"
2,6.5,"Hemigrapsus nudus"
4.900000095367432,6.599999904632568,"Hemigrapsus nudus"
3,7,"Hemigrapsus nudus"
2.9000000953674316,7.900000095367432,"Hemigrapsus nudus"
9.5,7.900000095367432,"Hemigrapsus nudus"
4,8,"Hemigrapsus nudus"
3.4000000953674316,8.199999809265137,"Hemigrapsus nudus"
7.400000095367432,8.300000190734863,"Hemigrapsus nudus"
2.4000000953674316,8.800000190734863,"Hemigrapsus nudus"
4,12.100000381469727,"Hemigrapsus nudus"
5.199999809265137,12.199999809265137,"Hemigrapsus nudus"
2.0999999046325684,5.099999904632568,"Lophopanopeus bellus"
8.699999809265137,5.900000095367432,"Lophopanopeus bellus"
2.9000000953674316,6.599999904632568,"Lophopanopeus bellus"
6.900000095367432,7.199999809265137,"Lophopanopeus bellus"
8.699999809265137,8.600000381469727,"Lophopanopeus bellus"
15.100000381469727,7.900000095367432,"Lophopanopeus bellus"
14.600000381469727,8.100000381469727,"Lophopanopeus bellus"
17.600000381469727,9.600000381469727,"Lophopanopeus bellus"
20.600000381469727,10.199999809265137,"Lophopanopeus bellus"
19.600000381469727,10.5,"Lophopanopeus bellus"
27.399999618530273,8.199999809265137,"Lophopanopeus bellus"
29.399999618530273,11,"Lophopanopeus bellus"
5,6.699999809265137,"Cancer productus"
7.800000190734863,7.099999904632568,"Cancer productus"
14.600000381469727,11.199999809265137,"Cancer productus"
16.799999237060547,11.399999618530273,"Cancer productus"
17.700000762939453,9.399999618530273,"Cancer productus"
19.799999237060547,10.699999809265137,"Cancer productus"
19.600000381469727,13.100000381469727,"Cancer productus"
22.5,9.399999618530273,"Cancer productus"
23.600000381469727,11.600000381469727,"Cancer productus"
24.399999618530273,10.199999809265137,"Cancer productus"
26,12.5,"Cancer productus"
29.399999618530273,11.800000190734863,"Cancer productus"
